Data_Type,Model_Name,ROUGE1_P,ROUGE1_R,ROUGE1_F,ROUGE2_P,ROUGE2_R,ROUGE2_F,ROUGEL_P,ROUGEL_R,ROUGEL_F
Clean,Hashif/bart-samsum,0.3657694962042788,0.5198412698412698,0.41315111903347196,0.12745815644366368,0.22065095398428733,0.15699613178604774,0.28657694962042785,0.42162698412698413,0.3284808873044167
Clean,philschmid/distilbart-cnn-12-6-samsum,0.336783988957902,0.4702380952380952,0.3821007821007821,0.10843214756258235,0.17800224466891135,0.13223665223665224,0.23576604554865424,0.33035714285714285,0.2684783684783684
Clean,philschmid/bart-large-cnn-samsum,0.358044733044733,0.49107142857142855,0.39831722162549227,0.08971704623878536,0.16565656565656564,0.11546840958605664,0.22258297258297258,0.31845238095238093,0.25325217806420813
Clean,sharmax-vikas/flan-t5-base-samsum,0.23954116059379219,0.2708333333333333,0.2431719885391814,0.04518518518518518,0.056790123456790124,0.04814814814814814,0.18690958164642377,0.2351190476190476,0.2006187970498197
Clean,google/flan-t5-base,0.2719102792632204,0.42361111111111116,0.32770546437779036,0.07522429261559696,0.13535353535353534,0.09586056644880174,0.23715092097445042,0.37896825396825395,0.28865622838458155
Clean,facebook/bart-large,0.14157258676548326,0.5615079365079364,0.22222222222222224,0.025122549019607848,0.13535353535353534,0.042194092827004225,0.11240075159242337,0.45634920634920634,0.17732884399551066
Unclean,Hashif/bart-samsum,0.33469561515538526,0.5385536398467433,0.4036498406987581,0.12087912087912088,0.23816738816738814,0.1587108013937282,0.3002128565346956,0.5040708812260537,0.3691670820780684
Unclean,philschmid/distilbart-cnn-12-6-samsum,0.36324786324786323,0.5153256704980843,0.4161616161616162,0.09703703703703703,0.15108225108225107,0.11578703301162219,0.2692307692307692,0.38362068965517243,0.3090909090909091
Unclean,philschmid/bart-large-cnn-samsum,0.355974025974026,0.49664750957854403,0.40647050433352633,0.10207231040564373,0.16724386724386722,0.12466977466977465,0.26796536796536796,0.39056513409961685,0.3121229664309027
Unclean,sharmax-vikas/flan-t5-base-samsum,0.3141025641025641,0.5363984674329503,0.3835194045720362,0.13892473118279572,0.2906926406926407,0.18568650685139612,0.2756410256410256,0.5019157088122607,0.34715576820839983
Unclean,google/flan-t5-base,0.34202586206896557,0.5802203065134101,0.411058416139717,0.13146441372247822,0.27229437229437226,0.1716833890746934,0.2811925287356322,0.5040708812260537,0.3462436013249022
Unclean,facebook/bart-large,0.44638694638694637,0.18941570881226055,0.2504409171075837,0.06666666666666667,0.044444444444444446,0.05333333333333334,0.4160839160839161,0.1685823754789272,0.2257495590828924
